company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70.0
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,68.5
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,70.0
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.0
ABB,con,CON-FALLBACK,"Revenue growth (5yr CAGR) ranks in the bottom 66% relative to the Nifty 100 universe, comparatively weaker than the rest of its profile",65.0
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.0
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97.6
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,100.0
ADANIENSOL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.8
ADANIENSOL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.8
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,70.0
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.8
ADANIENT,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.2
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,87.5
